section,route,viewport,change_type,severity,diff_path,actual_path,expected_path,run_dir
Appearance,appearance/appearance/list,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/media/file/system,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-media-file-system-default-state-narrow/config-media-file-system-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/overview,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-overview-default-state-narrow/config-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-overview-default-state-narrow/config-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-overview-default-state-narrow/config-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/performance,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-performance-default-state-narrow/config-performance-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-performance-default-state-narrow/config-performance-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-performance-default-state-narrow/config-performance-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/site/info,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/text/formats/basic/html,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-basic-html-default-state-narrow/config-text-formats-basic-html-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Configuration,config/config/text/formats,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Content,content/content/overview,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-content-overview-default-state-narrow/content-overview-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-content-overview-default-state-narrow/content-overview-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-content-overview-default-state-narrow/content-overview-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
Content,content/node/add/article,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-node-add-article-default-state-narrow/node-add-article-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-node-add-article-default-state-narrow/node-add-article-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-content-node-add-article-default-state-narrow/node-add-article-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
People,people/people/list,narrow,visual-regression,medium,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-people-people-list-default-state-narrow/people-list-diff.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-people-people-list-default-state-narrow/people-list-actual.png,/Users/mike.gifford/drupal-diff/report/20260604-065547/test-results/vrt-people-people-list-default-state-narrow/people-list-expected.png,/Users/mike.gifford/drupal-diff/report/20260604-065547
