section,route,viewport,change_type,severity,diff_path,actual_path,expected_path,run_dir
Appearance,appearance/appearance/list,narrow,visual-regression,medium,report/20260527-160939/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-diff.png,report/20260527-160939/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-actual.png,report/20260527-160939/test-results/vrt-appearance-appearance-list-default-state-narrow/appearance-list-expected.png,report/20260527-160939
Configuration,config/config/overview,narrow,visual-regression,medium,report/20260527-160939/test-results/vrt-config-config-overview-default-state-narrow/config-overview-diff.png,report/20260527-160939/test-results/vrt-config-config-overview-default-state-narrow/config-overview-actual.png,report/20260527-160939/test-results/vrt-config-config-overview-default-state-narrow/config-overview-expected.png,report/20260527-160939
Configuration,config/config/performance,narrow,visual-regression,medium,report/20260527-160939/test-results/vrt-config-config-performance-default-state-narrow/config-performance-diff.png,report/20260527-160939/test-results/vrt-config-config-performance-default-state-narrow/config-performance-actual.png,report/20260527-160939/test-results/vrt-config-config-performance-default-state-narrow/config-performance-expected.png,report/20260527-160939
Configuration,config/config/site/info,narrow,visual-regression,medium,report/20260527-160939/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-diff.png,report/20260527-160939/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-actual.png,report/20260527-160939/test-results/vrt-config-config-site-info-default-state-narrow/config-site-info-expected.png,report/20260527-160939
Configuration,config/config/text/formats,narrow,visual-regression,medium,report/20260527-160939/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-diff.png,report/20260527-160939/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-actual.png,report/20260527-160939/test-results/vrt-config-config-text-formats-default-state-narrow/config-text-formats-expected.png,report/20260527-160939
